cohort,label,chain,frac,n_train,frac_receptors,heldout_auc,I_heldout,top1_excess
vdjdb_lq,VDJdb LQ,A,0.15,173,0.1203883495145631,0.5711704553427974,0.07031451081681665,0.04407558714212775
vdjdb_lq,VDJdb LQ,A,0.3,342,0.23730929264909847,0.5943208003658043,0.11369553857980068,0.0741750746935427
vdjdb_lq,VDJdb LQ,A,0.5,580,0.4023578363384189,0.6122084998527675,0.13017868010371778,0.08779693651731377
vdjdb_lq,VDJdb LQ,A,0.7,805,0.5586685159500694,0.6180503523088826,0.1422461864948516,0.09281518730284377
vdjdb_lq,VDJdb LQ,A,1.0,1153,0.7999999999999999,0.6301076788852045,0.17175349754674646,0.10645461970305695
vdjdb_lq,VDJdb LQ,B,0.15,306,0.11946937182988684,0.5644911741628855,0.053911020851157065,0.03693178512629248
vdjdb_lq,VDJdb LQ,B,0.3,613,0.23940694498634413,0.594790050879707,0.07746909226682108,0.04807778804753301
vdjdb_lq,VDJdb LQ,B,0.5,1027,0.4010144362075692,0.6191052466319857,0.09702371671273884,0.07395874461618085
vdjdb_lq,VDJdb LQ,B,0.7,1432,0.5590323839250878,0.6211276369814627,0.12471005540857609,0.07832933408415946
vdjdb_lq,VDJdb LQ,B,1.0,2050,0.8,0.6286587083189097,0.13630655370142913,0.0930635076984185
immrep25_pos,IMMREP25 pos,A,0.15,118,0.11907164480322906,0.5769981625281011,0.09144774308302103,0.055688717852059276
immrep25_pos,IMMREP25 pos,A,0.3,237,0.2393541876892028,0.5990275722702879,0.14891569002798657,0.07479023531097957
immrep25_pos,IMMREP25 pos,A,0.5,396,0.39959636730575177,0.612146167881817,0.12093330404343394,0.0938918612579463
immrep25_pos,IMMREP25 pos,A,0.7,554,0.5596367305751766,0.6305916786559458,0.12771551754241312,0.099213688132098
immrep25_pos,IMMREP25 pos,A,1.0,792,0.7999999999999999,0.6327520571537453,0.13452244075367883,0.1194049137734973
immrep25_pos,IMMREP25 pos,B,0.15,118,0.11943605236656596,0.5765000521727224,0.06373492196693395,0.0321633152471555
immrep25_pos,IMMREP25 pos,B,0.3,237,0.23947633434038268,0.5784794331836947,0.06336491638217705,0.050185590365436974
immrep25_pos,IMMREP25 pos,B,0.5,397,0.3997985901309164,0.5980030063338015,0.058740771055512966,0.08302955500522281
immrep25_pos,IMMREP25 pos,B,0.7,555,0.5597180261832829,0.6126738589973753,0.14985290754158495,0.09363574918719061
immrep25_pos,IMMREP25 pos,B,1.0,794,0.7999999999999999,0.6326244005074415,0.11555003495857999,0.10640004915593385
pairseq_mock,pairSEQ mock,A,0.15,120,0.12,0.5050415512465374,0.031828176589097666,-0.004210526315789476
pairseq_mock,pairSEQ mock,A,0.3,240,0.24,0.4948736842105263,-0.01662629311736219,-0.01578947368421053
pairseq_mock,pairSEQ mock,A,0.5,400,0.4,0.4841842105263158,0.01110490498912231,-0.010526315789473686
pairseq_mock,pairSEQ mock,A,0.7,560,0.56,0.4868842105263158,-0.044040907593059765,-0.005263157894736846
pairseq_mock,pairSEQ mock,A,1.0,800,0.8,0.4796473684210527,0.010960784529771806,-0.005263157894736843
pairseq_mock,pairSEQ mock,B,0.15,119,0.1192,0.5180684210526315,-0.017518007462827435,0.0031578947368421017
pairseq_mock,pairSEQ mock,B,0.3,239,0.2394,0.5326526315789474,0.026491205044577713,0.02421052631578947
pairseq_mock,pairSEQ mock,B,0.5,399,0.3994,0.5409368421052632,0.0673525790056897,0.019999999999999997
pairseq_mock,pairSEQ mock,B,0.7,559,0.5596,0.5364368421052632,0.03264484267460817,0.015789473684210527
pairseq_mock,pairSEQ mock,B,1.0,800,0.8,0.5525105263157895,0.0663790923160283,0.02947368421052632
