score,hla,n_pep,macro,mx,var,n_ge_best,p_max,p_max_bh
degree_ab,B*40:01,10,0.5006783625730995,0.552280701754386,0.00040738634109640663,0,0.013493253373313344,0.07391956195815137
degree_ab,A*02:01,10,0.5012865497076022,0.5515789473684211,0.0005748640607366367,0,0.017991004497751123,0.09445277361319339
kf9_sum_a,A*02:01,10,0.5012982456140351,0.551345029239766,0.00037145774768304715,0,0.02148925537231384,0.10830584707646176
degree_b,A*02:01,10,0.5016842105263158,0.5483040935672515,0.00045990273930440176,0,0.030984507746126936,0.13643178410794604
pgen_ab,A*02:01,10,0.5013801169590644,0.5483040935672514,0.0005241210628911452,0,0.02498750624687656,0.1210932995040941
pgen_a,B*40:01,10,0.5006549707602339,0.5480701754385965,0.00040011819021237296,0,0.02848575712143928,0.1329335332333833
kf_PC3,B*40:01,10,0.5017076023391812,0.5464327485380117,0.00039694182825484827,0,0.031484257871064465,0.13643178410794604
pgen_ab,B*40:01,10,0.5008888888888888,0.5459649122807018,0.0003444046373243053,0,0.03248375812093953,0.13643178410794604
kf8_mean_a,B*40:01,10,0.5013333333333333,0.5459649122807018,0.00033896296296296284,0,0.035982008995502246,0.1416791604197901
kf9_sum_ab,A*02:01,10,0.5004912280701754,0.5451461988304094,0.00028191046817824304,0,0.04697651174412794,0.1644177911044478
degree_b,B*40:01,10,0.5007251461988305,0.5450292397660819,0.0004247072261550558,0,0.035982008995502246,0.1416791604197901
kf2_mean_b,B*40:01,10,0.5009707602339181,0.5445614035087719,0.0003774044663315206,0,0.04147926036981509,0.15371725901755004
kf2_sum_b,B*40:01,10,0.5009707602339181,0.544327485380117,0.00037846598953524186,0,0.03948025987006497,0.15074281041297535
kf1_sum_ab,B*40:01,10,0.5012397660818714,0.543859649122807,0.000499318627953901,0,0.04697651174412794,0.1644177911044478
kf4_mean_b,A*02:01,10,0.5012514619883042,0.5431578947368421,0.00034472158954892095,0,0.06446776611694154,0.19812045196913738
kf7_sum_a,B*40:01,10,0.5011461988304095,0.5430409356725147,0.0005153416093840843,0,0.054972513743128434,0.18720369544957252
kf8_sum_a,B*40:01,10,0.5008888888888888,0.5426900584795322,0.00044219335864026583,0,0.05647176411794103,0.18724848102264657
kf5_sum_a,B*40:01,10,0.5016140350877194,0.5426900584795321,0.0004249944940323515,0,0.0704647676161919,0.2113943028485757
kf4_mean_b,B*40:01,10,0.5005847953216375,0.5426900584795321,0.0003396764816524737,0,0.05997001499250375,0.19374927920655058
kf10_sum_ab,A*02:01,10,0.5004678362573098,0.5415204678362573,0.00025518415922848043,0,0.06446776611694154,0.19812045196913738
kf9_mean_b,B*40:01,10,0.5008888888888888,0.5410526315789473,0.0003744090831366917,0,0.07246376811594203,0.21233569261880686
kf4_sum_ab,A*02:01,10,0.5011929824561403,0.5407017543859649,0.00046500954139735306,0,0.08245877061469266,0.23613193403298352
kf4_mean_a,B*40:01,10,0.5013216374269005,0.5394152046783626,0.00043592230087890327,0,0.08945527236381809,0.24502965908350174
kf6_mean_b,A*02:01,10,0.5009122807017544,0.5391812865497077,0.0002563901371362133,0,0.09395302348825588,0.2518740629685158
degree_a,A*02:01,10,0.5005614035087719,0.5387134502923977,0.00026618460380972,0,0.1054472763618191,0.2711501392161062
kf5_mean_a,B*40:01,10,0.5012397660818714,0.5384795321637427,0.000356757156048015,0,0.12643678160919541,0.29501915708812265
len_diff,A*02:01,10,0.5008928327120322,0.5383391812865497,0.0003128698432445196,0,0.08895552223888056,0.24502965908350174
kf4_sum_ab,B*40:01,10,0.5007485380116959,0.5382456140350877,0.00030101350842994456,0,0.10144927536231885,0.266304347826087
kf4_sum_a,B*40:01,10,0.5013684210526316,0.5380116959064327,0.00042094880476043953,0,0.111944027986007,0.27656759855366436
kf5_sum_ab,A*02:01,10,0.5007953216374269,0.5380116959064327,0.0003433009814985808,0,0.1199400299850075,0.2851404486436027
kf6_sum_b,A*02:01,10,0.5010350877192983,0.5375438596491228,0.0002310441161382987,0,0.11494252873563218,0.27851458885941643
kf_PC1,B*40:01,10,0.5006783625730994,0.5370760233918129,0.00024805936869464184,0,0.13343328335832083,0.3002248875562219
pgen_b,B*40:01,10,0.5007485380116958,0.5370760233918128,0.00034066468315037044,0,0.11044477761119441,0.27656759855366436
kf4_sum_b,B*40:01,10,0.5008187134502924,0.5356725146198831,0.0003104298758592393,0,0.14992503748125938,0.32569921935583934
kf1_mean_b,B*40:01,10,0.5004678362573098,0.535672514619883,0.00024838822201703013,0,0.1359320339830085,0.30048133827822926
len_a,A*02:01,10,0.5008553473195688,0.5354475933423302,0.00026267609487489656,0,0.13093453273363317,0.2999591113534142
degree_a,B*40:01,10,0.5008654970760235,0.5347368421052632,0.00033601915119182014,0,0.1664167916041979,0.35539857190049046
kf_PC3,A*02:01,10,0.5006549707602338,0.5345029239766081,0.00026256885879415864,0,0.17091454272863568,0.35782108945527236
kf5_mean_a,A*02:01,10,0.5006783625730994,0.5345029239766081,0.00023526637255907797,0,0.17791104447776113,0.35782108945527236
kf8_sum_ab,B*40:01,10,0.500608187134503,0.5343859649122807,0.00022090024280975386,0,0.1874062968515742,0.3632798985122823
kf5_sum_a,A*02:01,10,0.5008654970760233,0.5342690058479532,0.0002636167025751512,0,0.17891054472763618,0.35782108945527236
kf9_sum_b,A*02:01,10,0.5004093567251462,0.5336842105263158,0.00028043432167162535,0,0.17841079460269865,0.35782108945527236
kf3_sum_a,B*40:01,10,0.5012514619883041,0.5335672514619884,0.0003172806675558295,0,0.1839080459770115,0.3620689655172414
kf4_sum_b,A*02:01,10,0.5011111111111111,0.5334502923976608,0.0002911507814370238,0,0.19440279860069964,0.3711326155104266
kf1_mean_a,A*02:01,10,0.5002105263157894,0.5330994152046784,0.00019809390923703052,0,0.20789605197401298,0.39096869475709906
kf3_mean_b,A*02:01,10,0.5003508771929824,0.5328654970760234,0.00022966109230190446,0,0.21739130434782608,0.40281329923273657
kf8_mean_b,A*02:01,10,0.5009590643274853,0.5318128654970761,0.0002795466639307824,0,0.2273863068465767,0.40929535232383807
kf1_sum_a,A*02:01,10,0.5004912280701754,0.5316959064327486,0.0002087036695051472,0,0.23288355822088955,0.4132863145891843
kf7_mean_b,A*02:01,10,0.500280701754386,0.5316959064327486,0.0001366360931568688,0,0.24287856071964017,0.4250374812593703
kf10_sum_a,A*02:01,10,0.5005380116959064,0.531578947368421,0.00019311022194863373,0,0.22288855572213892,0.4070138843621667
kf3_mean_b,B*40:01,10,0.5004912280701754,0.5314619883040935,0.00024729332102185286,0,0.2613693153423288,0.4450342396369383
