score,hla,macro,mx,var,n_ge60
kf1_mean_a,B*40:01,0.5009122807017543,0.5300584795321638,0.0002724853459184026,0
kf1_mean_b,B*40:01,0.5004678362573098,0.5356725146198831,0.00024838822201703095,0
kf2_sum_a,B*40:01,0.5003976608187135,0.5134502923976608,0.00011634950925070956,0
kf2_sum_b,B*40:01,0.5009707602339181,0.544327485380117,0.00037846598953524186,0
kf2_sum_ab,B*40:01,0.5004444444444445,0.5245614035087719,0.00020312246503197546,0
kf2_mean_a,B*40:01,0.5003274853801171,0.5132163742690059,0.00011837023357614315,0
kf2_mean_b,B*40:01,0.5009707602339181,0.5445614035087719,0.0003774044663315206,0
kf3_sum_a,B*40:01,0.5012514619883041,0.5335672514619882,0.00031728066755582916,0
kf3_sum_b,B*40:01,0.5004678362573098,0.5273684210526316,0.0002566478574604151,0
kf3_sum_ab,B*40:01,0.5000935672514619,0.5163742690058479,0.00010657036353065898,0
kf3_mean_a,B*40:01,0.5007017543859649,0.5267836257309941,0.0003259231900413802,0
kf3_mean_b,B*40:01,0.5004912280701754,0.5314619883040935,0.00024729332102185286,0
kf4_sum_a,B*40:01,0.5013684210526316,0.5380116959064327,0.00042094880476043953,0
kf4_sum_b,B*40:01,0.5008187134502924,0.5356725146198831,0.0003104298758592393,0
kf4_sum_ab,B*40:01,0.5007485380116959,0.5382456140350877,0.00030101350842994456,0
kf4_mean_a,B*40:01,0.5013216374269005,0.5394152046783626,0.00043592230087890327,0
kf4_mean_b,B*40:01,0.5005847953216375,0.5426900584795321,0.0003396764816524738,0
kf5_sum_a,B*40:01,0.5016140350877194,0.5426900584795321,0.0004249944940323515,0
kf5_sum_b,B*40:01,0.50046783625731,0.5272514619883041,0.00018033035805889005,0
kf5_sum_ab,B*40:01,0.5004678362573098,0.516140350877193,0.00014677473410622081,0
kf5_mean_a,B*40:01,0.5012397660818714,0.5384795321637427,0.0003567571560480149,0
kf5_mean_b,B*40:01,0.5004210526315789,0.5251461988304094,0.00018458794158886493,0
kf6_sum_a,B*40:01,0.5016491228070176,0.56,0.0006199034232755386,0
kf6_sum_b,B*40:01,0.5008187134502924,0.523859649122807,0.00019359666222085444,0
kf6_sum_ab,B*40:01,0.5009356725146199,0.5307602339181287,0.0003212065250846416,0
kf6_mean_a,B*40:01,0.5017777777777778,0.5609356725146198,0.0006355399610136445,0
kf6_mean_b,B*40:01,0.5007485380116959,0.5148538011695907,0.00019799103997811322,0
kf7_sum_a,B*40:01,0.5011461988304095,0.5430409356725147,0.0005153416093840843,0
kf7_sum_b,B*40:01,0.5005263157894737,0.5223391812865497,0.00020167367737081474,0
kf7_sum_ab,B*40:01,0.5012514619883042,0.5687719298245614,0.0006162499230532467,0
kf7_mean_a,B*40:01,0.5012163742690059,0.5279532163742691,0.00029646099654594604,0
kf7_mean_b,B*40:01,0.5004444444444445,0.5232748538011696,0.00020055346944358932,0
kf8_sum_a,B*40:01,0.5008888888888888,0.5426900584795322,0.00044219335864026583,0
kf8_sum_b,B*40:01,0.500608187134503,0.5259649122807017,0.0001624809001060157,0
kf8_sum_ab,B*40:01,0.500608187134503,0.5343859649122807,0.00022090024280975386,0
kf8_mean_a,B*40:01,0.5013333333333333,0.5459649122807018,0.00033896296296296284,0
kf8_mean_b,B*40:01,0.5002105263157894,0.5207017543859649,0.00014203016312711598,0
kf9_sum_a,B*40:01,0.5006432748538012,0.5147368421052632,0.00010706952566601708,0
kf9_sum_b,B*40:01,0.5006783625730995,0.5216374269005848,0.0002500593002975276,0
kf9_sum_ab,B*40:01,0.5008187134502924,0.516140350877193,0.00014622755719708645,0
kf9_mean_a,B*40:01,0.500608187134503,0.5291228070175439,0.00016643425327451204,0
kf9_mean_b,B*40:01,0.5008888888888888,0.5410526315789473,0.0003744090831366917,0
kf10_sum_a,B*40:01,0.5015438596491228,0.5837426900584796,0.0008487775383878805,0
kf10_sum_b,B*40:01,0.5003976608187134,0.528187134502924,0.00014321863137375606,0
kf10_sum_ab,B*40:01,0.5014502923976608,0.5742690058479533,0.0008196195752539252,0
kf10_mean_a,B*40:01,0.5012397660818714,0.576374269005848,0.0006893777914572012,0
kf10_mean_b,B*40:01,0.500374269005848,0.52,0.00012063554597995985,0
kf_PC1,B*40:01,0.5006783625730994,0.5370760233918128,0.000248059368694641,0
kf_PC2,B*40:01,0.5004444444444445,0.5295906432748538,0.00022287828733627454,0
