cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
vdjdb_hq,A,50,0.5,1,35,35,0,10.259635021559335,6.872681184919502,15.315727289456646
vdjdb_hq,A,50,0.5,2,35,35,0,8.692455936287182,5.996540336490704,12.600397223128297
vdjdb_hq,A,50,0.5,3,35,35,0,5.771842452089326,4.048242921724899,8.229290073715692
vdjdb_hq,A,50,1.0,1,35,35,0,8.15894138828165,5.65510547983942,11.77136745101093
vdjdb_hq,A,50,1.0,2,35,35,0,7.897651552819936,5.486299548084554,11.368846980208284
vdjdb_hq,A,50,1.0,3,35,35,0,5.55301211771068,3.907914253796227,7.890639757381317
vdjdb_hq,B,10,0.0,1,110,84,0,97.6039459662521,71.06122050103446,134.06088723236024
vdjdb_hq,B,10,0.0,2,110,94,0,32.17281143042772,24.575157430107755,42.1193556249508
vdjdb_hq,B,10,0.0,3,110,97,0,9.800795967394032,7.968027455630682,12.055129344039665
vdjdb_hq,B,10,0.1,1,110,110,10,20.379169408003957,14.742357582391248,28.171243536799352
vdjdb_hq,B,10,0.1,2,110,110,0,13.942868439249963,10.287360381806872,18.897323812825118
vdjdb_hq,B,10,0.1,3,110,110,0,6.335601411396839,4.900662676076894,8.190697441805277
vdjdb_hq,B,10,0.5,1,110,110,10,9.306668391570543,7.16881633477296,12.082061041308762
vdjdb_hq,B,10,0.5,2,110,110,0,9.66033014293105,7.442891800283285,12.538403214039777
vdjdb_hq,B,10,0.5,3,110,110,0,5.774682998707829,4.649844540316066,7.1716298139504095
vdjdb_hq,B,10,1.0,1,110,110,10,6.319728824978066,5.009347364175698,7.972889384130526
vdjdb_hq,B,10,1.0,2,110,110,0,7.6345015186982055,5.978639360783303,9.748976300749607
vdjdb_hq,B,10,1.0,3,110,110,0,5.204986457816296,4.244895766500764,6.382225975924008
vdjdb_hq,B,20,0.0,1,90,79,0,92.56148125204486,66.62522796044111,128.59434892530055
vdjdb_hq,B,20,0.0,2,90,86,0,30.210316418183503,22.683023179295663,40.23551935175102
vdjdb_hq,B,20,0.0,3,90,88,0,9.26067807618022,7.448267943922335,11.514107585324435
vdjdb_hq,B,20,0.1,1,90,90,2,31.34401453497229,23.19933794492672,42.348072582967724
vdjdb_hq,B,20,0.1,2,90,90,0,19.532449153389365,14.560802009738088,26.201617855567797
vdjdb_hq,B,20,0.1,3,90,90,0,8.049627115437618,6.318260561894645,10.25543281459069
vdjdb_hq,B,20,0.5,1,90,90,2,13.353535124292677,10.376187879858225,17.185203504444896
vdjdb_hq,B,20,0.5,2,90,90,0,13.521111479067308,10.495113390349028,17.419578886825708
vdjdb_hq,B,20,0.5,3,90,90,0,7.2296961814722005,5.833607536504545,8.959894293422526
vdjdb_hq,B,20,1.0,1,90,90,2,8.655090251550774,6.867562593092144,10.907885621288601
vdjdb_hq,B,20,1.0,2,90,90,0,10.556973046004165,8.297756794690146,13.43130229670948
vdjdb_hq,B,20,1.0,3,90,90,0,6.532432064107257,5.324800353130579,8.01394716087117
vdjdb_hq,B,30,0.0,1,83,74,0,84.20733878453721,60.57670330669535,117.05615390248704
vdjdb_hq,B,30,0.0,2,83,80,0,27.891051801008043,21.02380956208345,37.001418238180776
vdjdb_hq,B,30,0.0,3,83,82,0,8.92814333364928,7.183191234934434,11.096981937292615
vdjdb_hq,B,30,0.1,1,83,83,1,34.30861377337605,25.422351999528264,46.301025926811604
vdjdb_hq,B,30,0.1,2,83,83,0,19.819694460076533,14.680610472032848,26.757762508522845
vdjdb_hq,B,30,0.1,3,83,83,0,8.14667243347313,6.426269379910336,10.327651677004091
vdjdb_hq,B,30,0.5,1,83,83,1,14.762064995363788,11.466515831756162,19.00477582944822
vdjdb_hq,B,30,0.5,2,83,83,0,14.389154293250499,11.11211086356071,18.63262199389396
vdjdb_hq,B,30,0.5,3,83,83,0,7.452198340832636,6.010522073006629,9.239673265741526
