cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
tcrvdb_true,B,50,0.1,3,2,2,0,437.28645124704735,151.82028378896214,1259.5118100954217
tcrvdb_true,B,50,0.5,1,2,2,0,149.08051515875582,108.88579933539698,204.11293424536618
tcrvdb_true,B,50,0.5,2,2,2,0,252.96206821451617,127.99613296453701,499.93547830929185
tcrvdb_true,B,50,0.5,3,2,2,0,326.890594887498,89.01654989600739,1200.4224062911603
tcrvdb_true,B,50,1.0,1,2,2,0,75.04665215717488,54.92811291601425,102.53401584378832
tcrvdb_true,B,50,1.0,2,2,2,0,174.37064589462275,73.50920610839461,413.62332365382076
tcrvdb_true,B,50,1.0,3,2,2,0,251.01343051743487,57.48694095356243,1096.0357475105232
vdjdb_lq,A,10,0.0,1,79,34,0,27.807408845115887,16.863647922067678,45.85318611090996
vdjdb_lq,A,10,0.0,2,79,47,0,8.486797554433657,6.062791558287971,11.879961901622746
vdjdb_lq,A,10,0.0,3,79,56,0,4.791956040165904,3.6295782057751422,6.326587109859089
vdjdb_lq,A,10,0.1,1,79,79,1,2.5357531296087705,1.8184736468119664,3.535956622518793
vdjdb_lq,A,10,0.1,2,79,79,0,2.311889703507583,1.668774881549031,3.202849024323202
vdjdb_lq,A,10,0.1,3,79,79,0,1.9471492224392648,1.409335709612922,2.690196571750211
vdjdb_lq,A,10,0.5,1,79,79,1,1.9777463247106846,1.5750847490574265,2.4833460721699936
vdjdb_lq,A,10,0.5,2,79,79,0,2.075335400492923,1.6464914192206102,2.6158757794060707
vdjdb_lq,A,10,0.5,3,79,79,0,1.9431713979339165,1.5489979162192888,2.4376502009534673
vdjdb_lq,A,10,1.0,1,79,79,1,1.7260101947778579,1.4300209278663676,2.083264051891897
vdjdb_lq,A,10,1.0,2,79,79,0,1.8496714058517139,1.5172423414649518,2.2549359559278335
vdjdb_lq,A,10,1.0,3,79,79,0,1.7987022555528362,1.4817081504448386,2.1835135368321685
vdjdb_lq,A,20,0.0,1,41,29,0,20.821486608083347,12.506007368126689,34.66608421129809
vdjdb_lq,A,20,0.0,2,41,35,0,6.60029060780926,4.39123353339677,9.92063751021618
vdjdb_lq,A,20,0.0,3,41,38,0,3.8280184189811695,2.646558941346362,5.53689728466974
vdjdb_lq,A,20,0.1,1,41,41,0,4.673619230669776,2.8184360429498887,7.7499423014846505
vdjdb_lq,A,20,0.1,2,41,41,0,3.5428237635060533,2.187251597023198,5.738526027982173
vdjdb_lq,A,20,0.1,3,41,41,0,2.736135002574102,1.7281877246789394,4.331956908039027
vdjdb_lq,A,20,0.5,1,41,41,0,3.1772448843867758,2.2301163084624203,4.52661819343493
vdjdb_lq,A,20,0.5,2,41,41,0,3.059003106274094,2.126689303456023,4.400031536806033
vdjdb_lq,A,20,0.5,3,41,41,0,2.6409150158230963,1.841584698970861,3.787190523844735
vdjdb_lq,A,20,1.0,1,41,41,0,2.5615646230425058,1.8985550162626847,3.456109126054964
vdjdb_lq,A,20,1.0,2,41,41,0,2.646696429912234,1.923970739199175,3.6409087983458095
vdjdb_lq,A,20,1.0,3,41,41,0,2.441652301804593,1.7790653811656576,3.3510100449492954
vdjdb_lq,A,30,0.0,1,31,21,0,17.582524859255095,8.909811784691264,34.697161724279425
vdjdb_lq,A,30,0.0,2,31,27,0,5.8237662117988185,3.556550589610459,9.536277366268067
vdjdb_lq,A,30,0.0,3,31,28,0,3.246190511952369,2.055589294568526,5.126390212156407
vdjdb_lq,A,30,0.1,1,31,31,0,4.165535660480034,2.2585390502845826,7.682704151847394
vdjdb_lq,A,30,0.1,2,31,31,0,3.3466629147930775,1.8921578824485852,5.9192484776997105
vdjdb_lq,A,30,0.1,3,31,31,0,2.185630047310266,1.2390759454314495,3.8552751518730517
vdjdb_lq,A,30,0.5,1,31,31,0,3.1675923765812306,2.072871272222168,4.840455651362867
vdjdb_lq,A,30,0.5,2,31,31,0,3.018324277703713,1.9602889083822446,4.647417738487347
vdjdb_lq,A,30,0.5,3,31,31,0,2.285758485618889,1.4672530461614521,3.5608662515626133
vdjdb_lq,A,30,1.0,1,31,31,0,2.630633482968234,1.8430987242203103,3.7546727317284976
vdjdb_lq,A,30,1.0,2,31,31,0,2.672788920478467,1.8298016119524714,3.904139425153161
vdjdb_lq,A,30,1.0,3,31,31,0,2.212140585514216,1.497728989609092,3.2673240646536468
vdjdb_lq,A,50,0.0,1,13,12,0,11.937118441084761,4.127294051881875,34.52499261871448
vdjdb_lq,A,50,0.0,2,13,12,0,6.37164940271202,2.5909201404483944,15.669304305170288
vdjdb_lq,A,50,0.0,3,13,12,0,4.20914296338586,1.915859681479642,9.247485427814697
vdjdb_lq,A,50,0.1,1,13,13,0,7.538717470909945,3.0447059172088653,18.665927893062968
vdjdb_lq,A,50,0.1,2,13,13,0,4.426540424552845,1.6402765763830065,11.945705018484146
vdjdb_lq,A,50,0.1,3,13,13,0,2.887663487772402,1.0633907288293116,7.841520705934544
vdjdb_lq,A,50,0.5,1,13,13,0,5.755533693263144,2.921673580516674,11.338079761952459
vdjdb_lq,A,50,0.5,2,13,13,0,4.304940049453745,1.9463194025256356,9.52182298822185
vdjdb_lq,A,50,0.5,3,13,13,0,3.067317684687592,1.3601227080274068,6.917344827248974
vdjdb_lq,A,50,1.0,1,13,13,0,4.74771630357298,2.661364132233116,8.469645256810079
vdjdb_lq,A,50,1.0,2,13,13,0,4.013401086122361,1.9842588306048232,8.117584273609326
vdjdb_lq,A,50,1.0,3,13,13,0,3.0410609370422064,1.4659943645477669,6.308381427957863
vdjdb_lq,B,10,0.0,1,138,46,0,79.2607547410071,43.52172872033547,144.34783329685843
vdjdb_lq,B,10,0.0,2,138,78,0,23.05670342990057,15.741902583243327,33.77047788494572
vdjdb_lq,B,10,0.0,3,138,93,0,6.418555580229103,4.869580239234752,8.460247847351285
vdjdb_lq,B,10,0.1,1,138,138,20,3.1387630504615536,2.3767344495272535,4.145113261981078
vdjdb_lq,B,10,0.1,2,138,138,0,3.283269144217005,2.483840436091066,4.339995483096418
vdjdb_lq,B,10,0.1,3,138,138,0,2.1446993785490243,1.6530044912279462,2.7826514983825748
vdjdb_lq,B,10,0.5,1,138,138,20,2.0999960481058357,1.7482538623540334,2.5225074555946136
vdjdb_lq,B,10,0.5,2,138,138,0,2.456908558707293,2.014031572480985,2.997172312653078
vdjdb_lq,B,10,0.5,3,138,138,0,2.0576318993635625,1.7171116325648415,2.4656807122984903
vdjdb_lq,B,10,1.0,1,138,138,20,1.7670998558768258,1.5259696073310778,2.046332958165138
vdjdb_lq,B,10,1.0,2,138,138,0,2.0829139123635443,1.7580738945544059,2.4677747503993466
vdjdb_lq,B,10,1.0,3,138,138,0,1.8854915448105378,1.6140405830858295,2.2025954011361932
vdjdb_lq,B,20,0.0,1,75,33,0,48.27778486228141,23.0810663300482,100.98079862863335
vdjdb_lq,B,20,0.0,2,75,54,0,12.923291125778773,8.533454662899363,19.571376437697957
vdjdb_lq,B,20,0.0,3,75,61,0,3.906998981230417,2.9063478770376117,5.25217272162701
vdjdb_lq,B,20,0.1,1,75,75,5,4.158716134284145,2.7211757387582174,6.355679142372346
vdjdb_lq,B,20,0.1,2,75,75,0,3.9862148852357078,2.647456121154825,6.001953718629912
vdjdb_lq,B,20,0.1,3,75,75,0,2.079180291013276,1.4482581727903048,2.984958596304075
vdjdb_lq,B,20,0.5,1,75,75,5,2.748685280610146,2.056792247847658,3.6733271334278563
vdjdb_lq,B,20,0.5,2,75,75,0,3.2448727051702555,2.386928804186564,4.41119100590315
vdjdb_lq,B,20,0.5,3,75,75,0,2.255578139135786,1.7146622621005967,2.9671340264493264
vdjdb_lq,B,20,1.0,1,75,75,5,2.240518678156433,1.7696628408668453,2.836655565818915
vdjdb_lq,B,20,1.0,2,75,75,0,2.751866370428764,2.1056130403819133,3.596467335386202
vdjdb_lq,B,20,1.0,3,75,75,0,2.176380869349095,1.7048153212874824,2.7783852182250453
vdjdb_lq,B,30,0.0,1,50,29,0,34.742117917516644,16.35755141724592,73.78945213780985
vdjdb_lq,B,30,0.0,2,50,40,0,9.903182386190739,5.953138862693377,16.474169952384976
vdjdb_lq,B,30,0.0,3,50,46,0,3.4410880953289946,2.4070103678275303,4.919416816015717
vdjdb_lq,B,30,0.1,1,50,50,1,5.305098042095936,3.0650587864636707,9.182226899054525
vdjdb_lq,B,30,0.1,2,50,50,0,4.4255139612044605,2.6343442256056138,7.434553780196712
vdjdb_lq,B,30,0.1,3,50,50,0,2.562842994139266,1.6988994037458707,3.866128976281173
vdjdb_lq,B,30,0.5,1,50,50,1,3.4911140267760925,2.3812739164090186,5.118217213050486
vdjdb_lq,B,30,0.5,2,50,50,0,3.892996181586633,2.595186329837154,5.839819320718716
vdjdb_lq,B,30,0.5,3,50,50,0,2.6359449104879737,1.8709592030929034,3.7137130300015615
vdjdb_lq,B,30,1.0,1,50,50,1,2.774160099964227,2.02625186941407,3.7981281480366826
vdjdb_lq,B,30,1.0,2,50,50,0,3.3673111779008473,2.3546836068282024,4.815417466675925
vdjdb_lq,B,30,1.0,3,50,50,0,2.5522611976945355,1.8605915579273706,3.5010570662341056
vdjdb_lq,B,50,0.0,1,31,25,0,24.098412690194504,11.054310938356002,52.534572025824914
vdjdb_lq,B,50,0.0,2,31,30,0,8.164300512458116,4.460852104816029,14.942392460346502
vdjdb_lq,B,50,0.0,3,31,31,0,3.4158181488412516,2.1881513742528726,5.332269861785573
vdjdb_lq,B,50,0.1,1,31,31,0,9.644372620830678,4.9931308537362185,18.628376858945867
vdjdb_lq,B,50,0.1,2,31,31,0,6.429264177023369,3.5275780737372884,11.717795324133872
vdjdb_lq,B,50,0.1,3,31,31,0,3.37491520033139,2.172702973488616,5.242342256815411
vdjdb_lq,B,50,0.5,1,31,31,0,5.471927148502057,3.4667335886073087,8.636944822328402
vdjdb_lq,B,50,0.5,2,31,31,0,5.271658329341362,3.1944595469249353,8.699556570708761
vdjdb_lq,B,50,0.5,3,31,31,0,3.2316201126349373,2.1168477380385693,4.93345287179855
vdjdb_lq,B,50,1.0,1,31,31,0,4.021608933414682,2.7571677840663344,5.865924629899732
vdjdb_lq,B,50,1.0,2,31,31,0,4.489551878051691,2.868153802546869,7.027543658160606
vdjdb_lq,B,50,1.0,3,31,31,0,3.086195292581958,2.0575236218034028,4.629157732637256
immrep22_true,A,10,0.0,1,16,6,0,19.97799055455944,5.582865456120679,71.49018899613598
immrep22_true,A,10,0.0,2,16,10,0,14.736825916877105,7.629067563447353,28.46665549861852
immrep22_true,A,10,0.0,3,16,11,0,6.265936633467884,3.2845775836542237,11.953428072462927
immrep22_true,A,10,0.1,1,16,16,4,4.509557180275323,1.9441843090747926,10.459968155925694
immrep22_true,A,10,0.1,2,16,16,0,3.154616570188354,1.3162893972073866,7.560347842974399
immrep22_true,A,10,0.1,3,16,16,0,2.127260434139924,0.9098652836813979,4.973524142329793
immrep22_true,A,10,0.5,1,16,16,4,2.953295618286066,1.6346108843919704,5.335798930662328
immrep22_true,A,10,0.5,2,16,16,0,2.9148962839894756,1.5641724571306583,5.432022733606998
immrep22_true,A,10,0.5,3,16,16,0,2.3646954729743204,1.3047530600454196,4.285703441623345
immrep22_true,A,10,1.0,1,16,16,4,2.3918118331816873,1.46475501734487,3.905611366819448
immrep22_true,A,10,1.0,2,16,16,0,2.597652973214352,1.5071394384525953,4.477224069046617
immrep22_true,A,10,1.0,3,16,16,0,2.2669956297928016,1.3546256972003587,3.7938665980729054
immrep22_true,A,20,0.0,1,11,6,0,19.97799055455944,5.582865456120679,71.49018899613598
immrep22_true,A,20,0.0,2,11,8,0,11.033354960319437,6.3905507718132855,19.049206559368887
immrep22_true,A,20,0.0,3,11,9,0,4.604373861800475,2.483862082724375,8.535199601734062
immrep22_true,A,20,0.1,1,11,11,3,5.358847915720839,1.863143733939097,15.413330952792874
immrep22_true,A,20,0.1,2,11,11,0,3.539409074623576,1.2099902830646716,10.353320000056687
immrep22_true,A,20,0.1,3,11,11,0,2.3871814660686277,0.9088313282732359,6.270289298641226
immrep22_true,A,20,0.5,1,11,11,3,3.677191690553751,1.7025984138884849,7.941825047396753
immrep22_true,A,20,0.5,2,11,11,0,3.5513487474098513,1.6180180701111038,7.794769513830889
immrep22_true,A,20,0.5,3,11,11,0,2.670461906867264,1.2918984987382176,5.520067406993867
immrep22_true,A,20,1.0,1,11,11,3,2.9484818026671857,1.5463788977574955,5.621872461701729
immrep22_true,A,20,1.0,2,11,11,0,3.226343108136978,1.6046093741254364,6.487117686880255
immrep22_true,A,20,1.0,3,11,11,0,2.621963622320024,1.3629270278195498,5.044065526947453
immrep22_true,A,30,0.0,1,7,6,0,19.97799055455944,5.582865456120679,71.49018899613598
immrep22_true,A,30,0.0,2,7,6,0,10.380559854169329,5.112799547794221,21.075737837694103
immrep22_true,A,30,0.0,3,7,7,0,4.735653907656228,2.2187756689064235,10.107564386693086
immrep22_true,A,30,0.1,1,7,7,0,9.053056026000085,2.3637079886341446,34.673413045938624
immrep22_true,A,30,0.1,2,7,7,0,5.7813791842936455,1.7258773866912884,19.366581618328215
immrep22_true,A,30,0.1,3,7,7,0,4.660907809521205,2.1896367451270553,9.921308480596947
immrep22_true,A,30,0.5,1,7,7,0,6.149156788224945,2.3692340302260924,15.9596429579245
immrep22_true,A,30,0.5,2,7,7,0,5.784326277563872,2.2702799664969042,14.73757905591841
immrep22_true,A,30,0.5,3,7,7,0,4.406399390046379,2.092366813617024,9.27961362139773
immrep22_true,A,30,1.0,1,7,7,0,4.674985249729958,2.1085572471490353,10.365138112680281
immrep22_true,A,30,1.0,2,7,7,0,5.235275985878984,2.2529594797257766,12.16538286416816
immrep22_true,A,30,1.0,3,7,7,0,4.155583030921838,1.9972048763076538,8.646519208791174
immrep22_true,A,50,0.0,1,3,3,0,20.88717674626496,3.0096614989741353,144.95788067143724
immrep22_true,A,50,0.0,2,3,3,0,12.26206044422275,4.4967751045105775,33.436879284212495
immrep22_true,A,50,0.0,3,3,3,0,8.007654175557875,3.305568786943946,19.39833339684085
immrep22_true,A,50,0.1,1,3,3,0,15.930413485194457,3.213044915479795,78.98366829128796
immrep22_true,A,50,0.1,2,3,3,0,11.858867874300213,4.360190707991163,32.25380646822723
immrep22_true,A,50,0.1,3,3,3,0,7.918805522574728,3.247809025784663,19.30762566595493
immrep22_true,A,50,0.5,1,3,3,0,9.600104916171043,3.009724776858277,30.62140934284875
immrep22_true,A,50,0.5,2,3,3,0,10.546580198984502,3.9070840749730866,28.468891828077233
immrep22_true,A,50,0.5,3,3,3,0,7.592757644681162,3.0433146639765125,18.943150812915473
immrep22_true,A,50,1.0,1,3,3,0,7.058475649122771,2.5937031246215714,19.208859339492953
immrep22_true,A,50,1.0,2,3,3,0,9.360559212397556,3.487966825722346,25.120671481918386
immrep22_true,A,50,1.0,3,3,3,0,7.239999979143621,2.8350170244824615,18.48934212575622
immrep22_true,B,10,0.0,1,16,5,0,47.28739439240301,31.036249805029446,72.04793370558276
immrep22_true,B,10,0.0,2,16,10,0,19.218566833790987,9.429393392725649,39.17042123089596
immrep22_true,B,10,0.0,3,16,13,0,8.71305630565968,3.9939798316201864,19.007945304220407
immrep22_true,B,10,0.1,1,16,16,8,2.993406219568577,1.2266203365585537,7.305015682759391
immrep22_true,B,10,0.1,2,16,16,2,5.211447426604417,2.3843088888195827,11.390799408422163
immrep22_true,B,10,0.1,3,16,16,0,4.495012569755525,2.307270182904138,8.75716166748541
immrep22_true,B,10,0.5,1,16,16,8,2.2411598872150535,1.2029220089991948,4.175497332732861
immrep22_true,B,10,0.5,2,16,16,2,3.5867703891705376,1.9644701984570099,6.548799688962095
immrep22_true,B,10,0.5,3,16,16,0,3.66505160927403,2.118503349006837,6.340609895631942
immrep22_true,B,10,1.0,1,16,16,8,1.9265990594246605,1.1424347204853058,3.2490118421814262
immrep22_true,B,10,1.0,2,16,16,2,2.906031597396679,1.6955782094645984,4.9806134555919535
immrep22_true,B,10,1.0,3,16,16,0,3.15407914240256,1.903808381256011,5.225428848031266
immrep22_true,B,20,0.0,1,11,4,0,41.6595252361681,26.857081319273053,64.62042625821347
immrep22_true,B,20,0.0,2,11,9,0,16.57263890535427,8.01120314511114,34.28353460926396
immrep22_true,B,20,0.0,3,11,11,0,6.008672747799104,3.1185074484278292,11.57738077821339
immrep22_true,B,20,0.1,1,11,11,4,3.8138484806422523,1.1474425132225614,12.676399963991868
immrep22_true,B,20,0.1,2,11,11,0,6.37422154897496,2.5794006400750282,15.75199281730615
immrep22_true,B,20,0.1,3,11,11,0,5.507853168599871,2.9147847862162157,10.407782650133987
immrep22_true,B,20,0.5,1,11,11,4,2.8067139820996774,1.2052722871870036,6.5359864829378385
immrep22_true,B,20,0.5,2,11,11,0,4.4380805403780155,2.196649393652634,8.966637525222072
immrep22_true,B,20,0.5,3,11,11,0,4.430235531343214,2.4368236568983286,8.054332043114593
immrep22_true,B,20,1.0,1,11,11,4,2.3542934174068018,1.1492630750325266,4.822827441043581
immrep22_true,B,20,1.0,2,11,11,0,3.545892105440637,1.8504164640039371,6.794876217335407
immrep22_true,B,20,1.0,3,11,11,0,3.788362833345298,2.130516804347349,6.736249593425963
immrep22_true,B,30,0.0,1,7,3,0,35.87951137053859,22.590459155391933,56.98597480172702
immrep22_true,B,30,0.0,2,7,7,0,14.900576070392827,5.940721254284557,37.37377293530365
immrep22_true,B,30,0.0,3,7,7,0,7.101945434603593,2.7256200100636856,18.505011252433647
immrep22_true,B,30,0.1,1,7,7,1,5.511618480401887,0.9721442779722071,31.248384588420205
immrep22_true,B,30,0.1,2,7,7,0,11.218268606279135,4.895933497670745,25.70491420737257
immrep22_true,B,30,0.1,3,7,7,0,6.720795372502266,2.681525978261702,16.844547024798437
immrep22_true,B,30,0.5,1,7,7,1,4.056505096702933,1.2077932126964648,13.62421433288208
immrep22_true,B,30,0.5,2,7,7,0,7.248627228713213,3.2811026618219223,16.013700915919184
immrep22_true,B,30,0.5,3,7,7,0,5.769726295116037,2.4987344726854968,13.322640674491327
immrep22_true,B,30,1.0,1,7,7,1,3.296601114571799,1.172290582892829,9.270379773740402
immrep22_true,B,30,1.0,2,7,7,0,5.6232231181060275,2.5574208480657536,12.364268579384424
immrep22_true,B,30,1.0,3,7,7,0,5.102494441496712,2.312556498770846,11.258297706171945
immrep22_true,B,50,0.0,1,3,3,0,35.87951137053859,22.590459155391933,56.98597480172702
immrep22_true,B,50,0.0,2,3,3,0,17.684984336546826,9.819070819815188,31.852165721500853
immrep22_true,B,50,0.0,3,3,3,0,9.873655414925517,3.965118105763903,24.58667526472233
immrep22_true,B,50,0.1,1,3,3,0,24.323847757173088,13.02002189619273,45.44151879553615
immrep22_true,B,50,0.1,2,3,3,0,16.64356933632137,8.715235450846704,31.784385151180857
immrep22_true,B,50,0.1,3,3,3,0,9.744151838597961,3.8975294654629242,24.36120006147911
immrep22_true,B,50,0.5,1,3,3,0,12.85900142114391,4.3895117218299,37.67023031893131
immrep22_true,B,50,0.5,2,3,3,0,13.732043636785606,6.100802670303174,30.908887343706407
immrep22_true,B,50,0.5,3,3,3,0,9.271686385522196,3.655394955027741,23.517067099203583
immrep22_true,B,50,1.0,1,3,3,0,8.862507438129128,2.554415065829582,30.748345929202333
immrep22_true,B,50,1.0,2,3,3,0,11.538046500456218,4.535899018165837,29.349532807836145
immrep22_true,B,50,1.0,3,3,3,0,8.765795204033006,3.40406931556082,22.572738224746992
